,Player,player_name,All_NBA,All_Star,Draft_Yr,Pk,Team,College,Yrs,Games_Career,Minutes_Played_Career,PTS_Career,TRB_Career,AST_Career,FG_Percentage,TP_Percentage,FT_Percentage,Minutes_per_Game,Points_Per_Game,TRB_per_Game,Assists_per_Game,Win_Share,WS_per_game,BPM_Career,VORP_Career,Executive,exec_name,Prior_Player,ethnic,Tenure,tenure_years,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
81,PeterWilliams,peterwilliams,0,0,1983,145,GSW,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
82,DougHarris,dougharris,0,0,1983,169,GSW,Central Washington University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
83,GregGoorjiam,greggoorjiam,0,0,1983,190,GSW,Loyola Marymount University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
84,MichaelZeno,michaelzeno,0,0,1983,212,GSW,"California State University, Long Beach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
85,SteveBurtt,steveburtt,0,0,1984,30,GSW,Iona College,4,101,1121,584,92,123,0.426,0.143,0.695,11.1,5.8,0.9,1.2,0,0,-6,-1.1,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
86,JayMurphy,jaymurphy,0,0,1984,31,GSW,Boston College,4,67,436,160,111,13,0.332,0,0.607,6.5,2.4,1.7,0.2,-0.5,-0.052,-10.2,-0.9,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
87,OthellWilson,othellwilson,0,0,1984,35,GSW,University of Virginia,2,127,2049,535,212,424,0.454,0.176,0.746,16.1,4.2,1.7,3.3,1.4,0.032,-3,-0.5,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
88,GaryPlummer,garyplummer,0,0,1984,45,GSW,Boston University,2,126,1439,531,307,66,0.43,0.143,0.717,11.4,4.2,2.4,0.5,0.2,0.006,-6.1,-1.5,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
89,LewisJackson,lewisjackson,0,0,1984,55,GSW,Alabama State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
90,SteveBartek,stevebartek,0,0,1984,101,GSW,Doane College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
91,ScottMcCollum,scottmccollum,0,0,1984,110,GSW,Pepperdine University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
92,TonyMartin,tonymartin,0,0,1984,123,GSW,University of Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
